sample_id,reference,surface_area_before,surface_area_after,pore_volume_before,pore_volume_after,amine_type,molecular_weight,nitrogen_atom_content,primary_amine_proportion,secondary_amine_proportion,tertiary_amine_proportion,amine_loading,temperature,co2_partial_pressure,relative_humidity,co2_adsorbed_amount
S5_004,S5,522.0,22.6,2.93,0.19,PEI,800.0,0.3256,0.397,0.325,0.278,0.65,20.0,400.0,0.0,1.59
S5_005,S5,522.0,3.4,2.93,0.01,PEI,800.0,0.3256,0.397,0.325,0.278,0.75,20.0,400.0,0.0,0.24
S5_006,S5,522.0,1.1,2.93,0.0,PEI,800.0,0.3256,0.397,0.325,0.278,0.84,20.0,400.0,0.0,0.14
S5_007,S5,958.9,160.5,2.13,0.52,PEI,800.0,0.3256,0.397,0.325,0.278,0.35,20.0,400.0,0.0,0.55
S5_008,S5,958.9,29.6,2.13,0.27,PEI,800.0,0.3256,0.397,0.325,0.278,0.6,20.0,400.0,0.0,1.23
S5_009,S5,958.9,8.4,2.13,0.07,PEI,800.0,0.3256,0.397,0.325,0.278,0.7,20.0,400.0,0.0,0.74
S5_010,S5,958.9,3.0,2.13,0.02,PEI,800.0,0.3256,0.397,0.325,0.278,0.75,20.0,400.0,0.0,0.13
S6_001,S6,59.7,52.6,0.861,0.852,PEI,17000.0,0.3256,0.397,0.325,0.278,0.1,25.0,400.0,0.0,0.35
S6_002,S6,59.7,40.2,0.861,0.886,PEI,17000.0,0.3256,0.397,0.325,0.278,0.2,25.0,400.0,0.0,0.7
S6_003,S6,59.7,25.9,0.861,0.702,PEI,17000.0,0.3256,0.397,0.325,0.278,0.3,25.0,400.0,0.0,1.11
S6_004,S6,59.7,8.4,0.861,0.378,PEI,17000.0,0.3256,0.397,0.325,0.278,0.4,25.0,400.0,0.0,0.55
S7_001,S7,234.0,111.0,1.17,0.57,PEI,800.0,0.3256,0.397,0.325,0.278,0.298,25.0,400.0,0.0,1.03
S7_002,S7,234.0,66.0,1.17,0.35,PEI,800.0,0.3256,0.397,0.325,0.278,0.372,25.0,400.0,0.0,1.33
S7_003,S7,234.0,29.0,1.17,0.16,PEI,800.0,0.3256,0.397,0.325,0.278,0.481,25.0,400.0,0.0,1.74
S7_004,S7,841.0,287.0,1.08,0.55,PEI,800.0,0.3256,0.397,0.325,0.278,0.248,25.0,400.0,0.0,0.32
S7_005,S7,841.0,118.0,1.08,0.28,PEI,800.0,0.3256,0.397,0.325,0.278,0.399,25.0,400.0,0.0,1.05
S8_001,S8,329.0,79.7,0.908,1.057,PEI (branched),25000.0,0.3256,0.364,0.273,0.364,0.33,25.0,420.0,0.0,1.18
S8_002,S8,329.0,27.2,0.908,0.401,PEI (branched),25000.0,0.3256,0.364,0.273,0.364,0.5,25.0,420.0,0.0,1.71
S8_003,S8,329.0,79.7,0.908,1.057,PEI (branched),25000.0,0.3256,0.364,0.273,0.364,0.33,25.0,420.0,0.67,1.77
S8_004,S8,329.0,27.2,0.908,0.401,PEI (branched),25000.0,0.3256,0.364,0.273,0.364,0.5,25.0,420.0,0.67,1.41
S9_001,S9,967.0,275.0,3.0,1.67,TEPA,189.3,0.37,0.4,0.6,0.0,0.3,30.0,400.0,0.0,1.11
S9_002,S9,967.0,99.0,3.0,1.0,TEPA,189.3,0.37,0.4,0.6,0.0,0.5,30.0,400.0,0.0,2.98
S9_003,S9,967.0,17.0,3.0,0.35,TEPA,189.3,0.37,0.4,0.6,0.0,0.7,30.0,400.0,0.0,5.2
S9_004,S9,967.0,0.8,3.0,0.003,TEPA,189.3,0.37,0.4,0.6,0.0,0.8,30.0,400.0,0.0,4.61
S9_005,S9,967.0,17.0,3.0,0.35,TEPA,189.3,0.37,0.4,0.6,0.0,0.7,30.0,400.0,0.5,5.88
S10_001,S10,2400.0,520.0,1.17,0.32,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.85,25.0,3000.0,0.0,2.02
S10_002,S10,2200.0,470.0,1.12,0.25,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.85,25.0,3000.0,0.0,1.39
S10_003,S10,2200.0,1400.0,1.12,0.76,PEI (branched),800.0,0.3256,0.397,0.325,0.278,0.85,25.0,3000.0,0.0,0.63
S10_004,S10,2400.0,480.0,1.17,0.27,TEPA,189.3,0.37,0.4,0.6,0.0,0.85,25.0,3000.0,0.0,1.61
S10_005,S10,2200.0,460.0,1.12,0.26,TEPA,189.3,0.37,0.4,0.6,0.0,0.85,25.0,3000.0,0.0,1.59
S10_006,S10,2200.0,1230.0,1.12,0.68,TEPA,189.3,0.37,0.4,0.6,0.0,0.85,25.0,3000.0,0.0,0.36
